venta_id,fecha,cliente_id,producto_id,region,ciudad,segmento,categoria,subcategoria,cantidad,precio_unitario_cop,descuento_pct,subtotal_cop,costo_unitario_est_cop,margen_total_cop,tipo_venta,ejecutivo
1,2023-04-21,136,133,Llanos,Yopal,Contratista Eléctrico,Materiales de Construcción,Adhesivos,15,1688006,0.0,25320090,861635,12395565,Crédito 30 días,Ejecutivo 12
2,2022-03-18,168,107,Santanderes,Barrancabermeja,Comercializadora Local,Tecnología y Seguridad,DVR,24,974633,0.05,23391192,722819,6043536,Crédito 90 días,Ejecutivo 3
3,2024-05-05,53,59,Santanderes,Cúcuta,Constructora,Equipos Eléctricos,Tableros,36,1112499,0.1,40049964,876698,8488836,Crédito 60 días,Ejecutivo 3
4,2022-03-16,85,59,Pacífico,Popayán,Cadena de Ferreterías,Equipos Eléctricos,Tableros,37,1112499,0.1,41162463,879989,8602870,Crédito 90 días,Ejecutivo 7
5,2024-10-11,10,74,Caribe,Cartagena,Constructora,Repuestos Automotrices,Frenos,28,973383,0.1,27254724,668530,8535884,Contado,Ejecutivo 12
6,2023-08-16,219,158,Santanderes,Cúcuta,Contratista Eléctrico,Materiales de Construcción,Impermeabilizantes,37,1504680,0.05,55673160,853880,24079600,Crédito 60 días,Ejecutivo 1
7,2023-09-04,42,158,Caribe,Barranquilla,Comercializadora Local,Materiales de Construcción,Impermeabilizantes,22,1425486,0.1,31360692,939320,10695652,Crédito 30 días,Ejecutivo 2
8,2023-11-18,85,31,Pacífico,Popayán,Cadena de Ferreterías,Herramientas Industriales,Compresores,32,541824,0.15,17338368,436045,3384928,Contado,Ejecutivo 11
9,2024-12-09,155,26,Pacífico,Pasto,Cadena de Ferreterías,Herramientas Industriales,Compresores,33,1696232,0.1,55975656,1040478,21639882,Crédito 30 días,Ejecutivo 3
10,2024-10-29,137,144,Santanderes,Cúcuta,Cadena de Ferreterías,Materiales de Construcción,Tuberías,23,847707,0.0,19497261,461389,8885314,Crédito 30 días,Ejecutivo 4
11,2022-08-19,213,31,Caribe,Sincelejo,Empresa Industrial,Herramientas Industriales,Compresores,31,637440,0.0,19760640,413686,6936374,Contado,Ejecutivo 12
12,2024-07-28,208,3,Caribe,Santa Marta,Taller Automotriz,Herramientas Industriales,Taladros,37,247863,0.05,9170931,194358,1979685,Crédito 30 días,Ejecutivo 12
13,2023-01-17,58,140,Caribe,Sincelejo,Taller Automotriz,Materiales de Construcción,Tuberías,5,1177622,0.15,5888110,758210,2097060,Contado,Ejecutivo 6
14,2023-08-28,93,8,Caribe,Santa Marta,Taller Automotriz,Herramientas Industriales,Taladros,16,257486,0.15,4119776,200172,917024,Crédito 30 días,Ejecutivo 13
15,2023-01-31,212,134,Llanos,Arauca,Constructora,Materiales de Construcción,Adhesivos,33,1197038,0.1,39502254,754159,14615007,Contado,Ejecutivo 14
16,2024-04-10,113,86,Caribe,Sincelejo,Comercializadora Local,Repuestos Automotrices,Lubricantes,29,965542,0.0,28000718,703678,7594056,Crédito 60 días,Ejecutivo 9
17,2023-11-03,72,32,Eje Cafetero,Pereira,Constructora,Herramientas Industriales,Compresores,25,1372837,0.0,34320925,908925,11597800,Contado,Ejecutivo 11
18,2022-07-15,153,89,Caribe,Valledupar,Constructora,Repuestos Automotrices,Bujías,29,1164688,0.0,33775952,696579,13575161,Contado,Ejecutivo 3
19,2024-09-04,167,57,Caribe,Santa Marta,Comercializadora Local,Equipos Eléctricos,Tableros,21,1464229,0.2,30748809,990520,9947889,Contado,Ejecutivo 4
20,2022-01-14,169,57,Pacífico,Pasto,Constructora,Equipos Eléctricos,Tableros,6,1830287,0.0,10981722,928315,5411832,Contado,Ejecutivo 4
21,2024-07-03,95,122,Pacífico,Cali,Contratista Eléctrico,Tecnología y Seguridad,Control de acceso,33,1292572,0.15,42654876,997442,9739290,Crédito 60 días,Ejecutivo 6
22,2023-09-11,136,100,Llanos,Yopal,Contratista Eléctrico,Tecnología y Seguridad,Cámaras,5,1471024,0.15,7355120,899465,2857795,Crédito 30 días,Ejecutivo 10
23,2022-01-24,202,80,Eje Cafetero,Pereira,Contratista Eléctrico,Repuestos Automotrices,Frenos,5,482937,0.0,2414685,245691,1186230,Contado,Ejecutivo 6
24,2023-04-29,136,117,Llanos,Yopal,Contratista Eléctrico,Tecnología y Seguridad,Sensores,4,868116,0.15,3472464,628201,959660,Contado,Ejecutivo 2
25,2024-08-11,28,31,Caribe,Valledupar,Constructora,Herramientas Industriales,Compresores,18,605568,0.05,10900224,397005,3754134,Contado,Ejecutivo 7
26,2024-10-26,149,24,Santanderes,Barrancabermeja,Comercializadora Local,Herramientas Industriales,Sierras,2,516745,0.1,1033490,348209,337072,Crédito 90 días,Ejecutivo 15
27,2023-09-29,102,131,Santanderes,Bucaramanga,Contratista Eléctrico,Materiales de Construcción,Adhesivos,12,1107869,0.15,13294428,652869,5460000,Crédito 30 días,Ejecutivo 11
28,2023-08-28,10,66,Caribe,Cartagena,Constructora,Repuestos Automotrices,Filtros,8,533938,0.2,4271504,408607,1002648,Crédito 30 días,Ejecutivo 4
29,2023-03-25,115,90,Pacífico,Popayán,Taller Automotriz,Repuestos Automotrices,Bujías,35,1333321,0.05,46666235,1024082,10823365,Crédito 90 días,Ejecutivo 8
30,2022-11-10,144,33,Llanos,Arauca,Cadena de Ferreterías,Equipos Eléctricos,Transformadores,3,473072,0.1,1419216,321480,454776,Crédito 30 días,Ejecutivo 10
31,2024-02-05,74,75,Santanderes,Barrancabermeja,Cadena de Ferreterías,Repuestos Automotrices,Frenos,16,101119,0.1,1617904,71803,469056,Crédito 30 días,Ejecutivo 9
32,2024-08-22,36,132,Llanos,Arauca,Contratista Eléctrico,Materiales de Construcción,Adhesivos,3,277258,0.0,831774,156833,361275,Crédito 60 días,Ejecutivo 13
33,2023-03-24,7,127,Eje Cafetero,Pereira,Comercializadora Local,Tecnología y Seguridad,Control de acceso,23,1246725,0.1,28674675,841648,9316771,Crédito 60 días,Ejecutivo 11
34,2022-06-17,73,135,Eje Cafetero,Pereira,Constructora,Materiales de Construcción,Adhesivos,2,508100,0.15,1016200,404689,206822,Crédito 30 días,Ejecutivo 9
35,2024-01-11,196,122,Llanos,Arauca,Empresa Industrial,Tecnología y Seguridad,Control de acceso,9,1444640,0.05,13001760,933582,4599522,Contado,Ejecutivo 10
36,2022-08-18,51,24,Llanos,Arauca,Cadena de Ferreterías,Herramientas Industriales,Sierras,21,574162,0.0,12057402,363981,4413801,Contado,Ejecutivo 9
37,2024-11-01,29,126,Pacífico,Popayán,Cadena de Ferreterías,Tecnología y Seguridad,Control de acceso,32,412129,0.2,13188128,344424,2166560,Contado,Ejecutivo 9
38,2022-11-03,188,159,Caribe,Sincelejo,Empresa Industrial,Materiales de Construcción,Impermeabilizantes,1,608098,0.05,608098,402990,205108,Contado,Ejecutivo 14
39,2024-12-01,205,65,Caribe,Cartagena,Comercializadora Local,Repuestos Automotrices,Filtros,10,44745,0.05,447450,27809,169360,Crédito 30 días,Ejecutivo 11
40,2023-02-25,64,97,Caribe,Santa Marta,Empresa Industrial,Tecnología y Seguridad,Cámaras,37,1330621,0.2,49232977,1001766,12167635,Crédito 60 días,Ejecutivo 8
41,2022-07-06,127,11,Pacífico,Buenaventura,Taller Automotriz,Herramientas Industriales,Llaves,37,927941,0.0,34333817,666052,9689893,Crédito 60 días,Ejecutivo 8
42,2022-04-24,13,44,Santanderes,Cúcuta,Empresa Industrial,Equipos Eléctricos,Breakers,20,1289171,0.05,25783420,709291,11597600,Crédito 30 días,Ejecutivo 9
43,2024-04-30,156,101,Pacífico,Pasto,Cadena de Ferreterías,Tecnología y Seguridad,Cámaras,32,852404,0.1,27276928,726234,4037440,Crédito 30 días,Ejecutivo 1
44,2024-08-04,40,11,Pacífico,Buenaventura,Cadena de Ferreterías,Herramientas Industriales,Llaves,36,881543,0.05,31735548,593305,10376568,Crédito 30 días,Ejecutivo 5
45,2022-02-14,211,145,Llanos,Villavicencio,Comercializadora Local,Materiales de Construcción,Aislantes,9,490972,0.1,4418748,302892,1692720,Crédito 30 días,Ejecutivo 14
46,2022-01-07,182,5,Santanderes,Cúcuta,Taller Automotriz,Herramientas Industriales,Taladros,36,1154602,0.0,41565672,681942,17015760,Crédito 60 días,Ejecutivo 10
47,2022-05-30,91,76,Llanos,Yopal,Taller Automotriz,Repuestos Automotrices,Frenos,2,1426789,0.0,2853578,962290,928998,Contado,Ejecutivo 6
