cliente_id,nombre_cliente,nit,segmento,region,ciudad,fecha_alta,tamano_cliente,estado
1,Cliente 001 Barranquilla,900000001,Comercializadora Local,Caribe,Barranquilla,2022-04-15,Pequeño,Activo
2,Cliente 002 Villavicencio,900000002,Cadena de Ferreterías,Llanos,Villavicencio,2022-08-12,Mediano,Activo
3,Cliente 003 Cali,900000003,Cadena de Ferreterías,Pacífico,Cali,2023-07-13,Pequeño,Activo
4,Cliente 004 Bucaramanga,900000004,Contratista Eléctrico,Santanderes,Bucaramanga,2022-01-07,Mediano,Activo
5,Cliente 005 Popayán,900000005,Empresa Industrial,Pacífico,Popayán,2022-12-11,Pequeño,Activo
6,Cliente 006 Barranquilla,900000006,Contratista Eléctrico,Caribe,Barranquilla,2023-09-11,Pequeño,Activo
7,Cliente 007 Pereira,900000007,Comercializadora Local,Eje Cafetero,Pereira,2023-01-23,Mediano,Activo
8,Cliente 008 Sincelejo,900000008,Empresa Industrial,Caribe,Sincelejo,2023-01-06,Grande,Activo
9,Cliente 009 Villavicencio,900000009,Comercializadora Local,Llanos,Villavicencio,2022-10-24,Pequeño,Activo
10,Cliente 010 Cartagena,900000010,Constructora,Caribe,Cartagena,2023-01-09,Pequeño,Activo
11,Cliente 011 Pasto,900000011,Empresa Industrial,Pacífico,Pasto,2023-12-01,Pequeño,Activo
12,Cliente 012 Sincelejo,900000012,Comercializadora Local,Caribe,Sincelejo,2022-06-17,Pequeño,Activo
13,Cliente 013 Cúcuta,900000013,Empresa Industrial,Santanderes,Cúcuta,2023-07-25,Grande,Activo
14,Cliente 014 Pasto,900000014,Constructora,Pacífico,Pasto,2022-11-20,Pequeño,Activo
15,Cliente 015 Cúcuta,900000015,Constructora,Santanderes,Cúcuta,2022-11-19,Pequeño,Inactivo
16,Cliente 016 Popayán,900000016,Contratista Eléctrico,Pacífico,Popayán,2022-05-27,Grande,Activo
17,Cliente 017 Pereira,900000017,Taller Automotriz,Eje Cafetero,Pereira,2023-08-22,Mediano,Activo
18,Cliente 018 Barrancabermeja,900000018,Contratista Eléctrico,Santanderes,Barrancabermeja,2022-05-22,Pequeño,Inactivo
19,Cliente 019 Yopal,900000019,Constructora,Llanos,Yopal,2022-06-06,Mediano,Inactivo
20,Cliente 020 Popayán,900000020,Cadena de Ferreterías,Pacífico,Popayán,2023-04-25,Pequeño,Activo
21,Cliente 021 Yopal,900000021,Cadena de Ferreterías,Llanos,Yopal,2022-04-28,Grande,Activo
22,Cliente 022 Yopal,900000022,Comercializadora Local,Llanos,Yopal,2022-06-11,Pequeño,Activo
23,Cliente 023 Bucaramanga,900000023,Comercializadora Local,Santanderes,Bucaramanga,2023-05-28,Grande,Activo
24,Cliente 024 Cali,900000024,Comercializadora Local,Pacífico,Cali,2023-09-16,Pequeño,Activo
25,Cliente 025 Buenaventura,900000025,Empresa Industrial,Pacífico,Buenaventura,2023-06-28,Mediano,Activo
26,Cliente 026 Sincelejo,900000026,Empresa Industrial,Caribe,Sincelejo,2023-01-07,Mediano,Activo
27,Cliente 027 Pereira,900000027,Constructora,Eje Cafetero,Pereira,2022-03-22,Pequeño,Activo
28,Cliente 028 Valledupar,900000028,Constructora,Caribe,Valledupar,2022-05-09,Grande,Activo
29,Cliente 029 Popayán,900000029,Cadena de Ferreterías,Pacífico,Popayán,2023-09-14,Pequeño,Activo
30,Cliente 030 Bucaramanga,900000030,Cadena de Ferreterías,Santanderes,Bucaramanga,2024-01-01,Mediano,Activo
